name,intern,sterling,brenda,marla,peggy,marcus,priya,chad,dana,otis,wren,sana,gil,ramesh,vera,doug,ravinder,hank,zora,hire_blazer,dale
intern,1.00000,0.61991,0.61189,0.56534,0.50944,0.58296,0.58900,0.61521,0.56756,0.52986,0.61702,0.55129,0.57458,0.69575,0.64262,0.55054,0.57656,0.53523,0.55347,0.66091,0.63958
sterling,0.61991,1.00000,0.64689,0.74282,0.55312,0.68821,0.73041,0.67497,0.66329,0.64358,0.56974,0.72246,0.63594,0.74989,0.72176,0.54189,0.68484,0.58973,0.66481,0.74179,0.58565
brenda,0.61189,0.64689,1.00000,0.64810,0.57062,0.65984,0.63900,0.65300,0.63110,0.62631,0.57187,0.60916,0.65140,0.62252,0.70456,0.59134,0.59793,0.62288,0.65357,0.66162,0.61192
marla,0.56534,0.74282,0.64810,1.00000,0.61592,0.64336,0.72243,0.59206,0.64110,0.63256,0.56993,0.75342,0.56112,0.69837,0.73307,0.51133,0.61849,0.59651,0.71837,0.73221,0.52514
peggy,0.50944,0.55312,0.57062,0.61592,1.00000,0.50148,0.59985,0.66873,0.65261,0.62156,0.63440,0.59146,0.63783,0.54436,0.55886,0.58311,0.58621,0.65477,0.59641,0.66459,0.63645
marcus,0.58296,0.68821,0.65984,0.64336,0.50148,1.00000,0.67822,0.63772,0.58356,0.63884,0.52249,0.65461,0.58827,0.69597,0.68839,0.51923,0.60966,0.58735,0.71024,0.65727,0.55330
priya,0.58900,0.73041,0.63900,0.72243,0.59985,0.67822,1.00000,0.60435,0.63750,0.69017,0.57524,0.71482,0.55737,0.70745,0.69055,0.48655,0.63411,0.61614,0.75953,0.76846,0.52193
chad,0.61521,0.67497,0.65300,0.59206,0.66873,0.63772,0.60435,1.00000,0.69859,0.64566,0.65503,0.59564,0.64861,0.64735,0.63005,0.66427,0.63268,0.66338,0.60861,0.69178,0.68585
dana,0.56756,0.66329,0.63110,0.64110,0.65261,0.58356,0.63750,0.69859,1.00000,0.61623,0.71633,0.66936,0.62115,0.62202,0.67471,0.58584,0.70947,0.59111,0.61614,0.68794,0.62053
otis,0.52986,0.64358,0.62631,0.63256,0.62156,0.63884,0.69017,0.64566,0.61623,1.00000,0.56973,0.60714,0.62448,0.59211,0.66704,0.57941,0.59995,0.75028,0.67368,0.63998,0.56892
wren,0.61702,0.56974,0.57187,0.56993,0.63440,0.52249,0.57524,0.65503,0.71633,0.56973,1.00000,0.59678,0.56381,0.62412,0.60410,0.50959,0.62823,0.58151,0.56259,0.62478,0.60296
sana,0.55129,0.72246,0.60916,0.75342,0.59146,0.65461,0.71482,0.59564,0.66936,0.60714,0.59678,1.00000,0.54057,0.70652,0.70322,0.46587,0.62611,0.56646,0.75409,0.73067,0.50924
gil,0.57458,0.63594,0.65140,0.56112,0.63783,0.58827,0.55737,0.64861,0.62115,0.62448,0.56381,0.54057,1.00000,0.57362,0.63389,0.62470,0.61357,0.64665,0.54315,0.60627,0.67164
ramesh,0.69575,0.74989,0.62252,0.69837,0.54436,0.69597,0.70745,0.64735,0.62202,0.59211,0.62412,0.70652,0.57362,1.00000,0.73737,0.52105,0.59967,0.57079,0.68047,0.69807,0.60755
vera,0.64262,0.72176,0.70456,0.73307,0.55886,0.68839,0.69055,0.63005,0.67471,0.66704,0.60410,0.70322,0.63389,0.73737,1.00000,0.56111,0.66529,0.63573,0.70408,0.70334,0.63872
doug,0.55054,0.54189,0.59134,0.51133,0.58311,0.51923,0.48655,0.66427,0.58584,0.57941,0.50959,0.46587,0.62470,0.52105,0.56111,1.00000,0.52375,0.62641,0.49185,0.53640,0.66839
ravinder,0.57656,0.68484,0.59793,0.61849,0.58621,0.60966,0.63411,0.63268,0.70947,0.59995,0.62823,0.62611,0.61357,0.59967,0.66529,0.52375,1.00000,0.58950,0.61516,0.68352,0.60900
hank,0.53523,0.58973,0.62288,0.59651,0.65477,0.58735,0.61614,0.66338,0.59111,0.75028,0.58151,0.56646,0.64665,0.57079,0.63573,0.62641,0.58950,1.00000,0.60036,0.59124,0.58501
zora,0.55347,0.66481,0.65357,0.71837,0.59641,0.71024,0.75953,0.60861,0.61614,0.67368,0.56259,0.75409,0.54315,0.68047,0.70408,0.49185,0.61516,0.60036,1.00000,0.73137,0.51949
hire_blazer,0.66091,0.74179,0.66162,0.73221,0.66459,0.65727,0.76846,0.69178,0.68794,0.63998,0.62478,0.73067,0.60627,0.69807,0.70334,0.53640,0.68352,0.59124,0.73137,1.00000,0.62572
dale,0.63958,0.58565,0.61192,0.52514,0.63645,0.55330,0.52193,0.68585,0.62053,0.56892,0.60296,0.50924,0.67164,0.60755,0.63872,0.66839,0.60900,0.58501,0.51949,0.62572,1.00000
