name,01_tyson_beck,02_anjali_raval,03_marguerite_dubois,04_danika_osei,05_curtis_lam,06_bekah_thorne,07_ade_okonkwo,08_russ_pelletier,09_joon_ho_bae,10_sam_whitecalf,11_cheryl_novak,12_gita_mahal,13_vince_carboni,14_aleks_petrov,15_denise_fung,16_bruno_sarr,17_elaine_kovacs,18_manny_reyes,19_tova_lindqvist,20_doreen_stapp,21_garret_voss,22_lorne_petrie,23_merv_kastelic,24_sandrine_pike,25_shopper_elderly_woman,26_shopper_work_jacket,27_shopper_mustard_jumper,28_shopper_teen_hoodie,29_shopper_hivis_worker,30_shopper_teal_blouse,31_shopper_white_tee,32_shopper_rose_cardigan,33_shopper_ginger_flannel,34_shopper_denim_jacket
01_tyson_beck,1.00000,0.75597,0.82808,0.68650,0.61849,0.60862,0.58359,0.61740,0.61940,0.57855,0.61738,0.59145,0.56758,0.58338,0.61993,0.55214,0.64189,0.71401,0.68983,0.67322,0.58139,0.57205,0.55029,0.61350,0.60465,0.55360,0.50177,0.59631,0.56037,0.59885,0.56547,0.58298,0.59736,0.61089
02_anjali_raval,0.75597,1.00000,0.76095,0.69143,0.64698,0.64815,0.62321,0.63365,0.65609,0.62403,0.59502,0.63947,0.59305,0.63658,0.64564,0.58867,0.56344,0.63583,0.58953,0.60069,0.55349,0.55046,0.52612,0.70764,0.57807,0.60482,0.55981,0.63921,0.61651,0.63545,0.61978,0.59281,0.62577,0.65346
03_marguerite_dubois,0.82808,0.76095,1.00000,0.69870,0.62825,0.65103,0.58367,0.63369,0.65136,0.59940,0.60516,0.58869,0.57465,0.59475,0.64442,0.57705,0.61589,0.68163,0.65294,0.68914,0.58175,0.55842,0.52735,0.61642,0.64657,0.54756,0.51884,0.62034,0.58692,0.60295,0.58266,0.63999,0.61369,0.62671
04_danika_osei,0.68650,0.69143,0.69870,1.00000,0.55319,0.56072,0.62990,0.56226,0.57453,0.55908,0.54345,0.55162,0.49881,0.50378,0.54288,0.51557,0.48250,0.54599,0.50191,0.53320,0.57088,0.51760,0.46702,0.62081,0.55217,0.53299,0.55281,0.56685,0.51015,0.57824,0.53221,0.53199,0.55539,0.59310
05_curtis_lam,0.61849,0.64698,0.62825,0.55319,1.00000,0.76538,0.78584,0.74233,0.71704,0.68011,0.68877,0.70583,0.70818,0.72718,0.75024,0.61871,0.67211,0.74019,0.70980,0.72052,0.59363,0.58169,0.64308,0.65840,0.67287,0.76553,0.64202,0.66898,0.72897,0.75718,0.76711,0.65978,0.73743,0.71269
06_bekah_thorne,0.60862,0.64815,0.65103,0.56072,0.76538,1.00000,0.67223,0.69229,0.71681,0.67213,0.63540,0.64160,0.65243,0.73298,0.76389,0.64345,0.66185,0.69423,0.69187,0.67171,0.59089,0.52554,0.53228,0.63801,0.61670,0.63606,0.63682,0.66573,0.67900,0.70961,0.67892,0.67518,0.70304,0.69706
07_ade_okonkwo,0.58359,0.62321,0.58367,0.62990,0.78584,0.67223,1.00000,0.70445,0.63789,0.68729,0.58904,0.67464,0.65237,0.64993,0.64976,0.62763,0.64233,0.66502,0.64518,0.62927,0.56244,0.57381,0.61786,0.60088,0.58896,0.71238,0.66781,0.59504,0.69999,0.67804,0.71428,0.58280,0.65617,0.62168
08_russ_pelletier,0.61740,0.63365,0.63369,0.56226,0.74233,0.69229,0.70445,1.00000,0.61545,0.66344,0.67928,0.67303,0.68532,0.62783,0.65144,0.57268,0.65224,0.66316,0.66473,0.72256,0.61569,0.62228,0.62226,0.59685,0.66215,0.66833,0.52625,0.57311,0.67243,0.61393,0.66073,0.65799,0.62682,0.58213
09_joon_ho_bae,0.61940,0.65609,0.65136,0.57453,0.71704,0.71681,0.63789,0.61545,1.00000,0.81976,0.69891,0.77445,0.63972,0.69314,0.74339,0.62058,0.63982,0.70051,0.66514,0.66059,0.53902,0.51240,0.51984,0.68717,0.62907,0.64966,0.60511,0.65603,0.64931,0.67700,0.68011,0.63518,0.76616,0.69842
10_sam_whitecalf,0.57855,0.62403,0.59940,0.55908,0.68011,0.67213,0.68729,0.66344,0.81976,1.00000,0.65293,0.83869,0.64707,0.65636,0.67730,0.64848,0.64362,0.68986,0.62969,0.61971,0.50446,0.54956,0.49602,0.64337,0.58809,0.60066,0.61915,0.58701,0.66168,0.63403,0.68000,0.60862,0.69627,0.60613
11_cheryl_novak,0.61738,0.59502,0.60516,0.54345,0.68877,0.63540,0.58904,0.67928,0.69891,0.65293,1.00000,0.71195,0.63342,0.67153,0.64740,0.56508,0.64888,0.64869,0.68196,0.72157,0.61951,0.57344,0.55285,0.60800,0.63285,0.59458,0.48539,0.53665,0.60090,0.64643,0.57234,0.60949,0.68104,0.58571
12_gita_mahal,0.59145,0.63947,0.58869,0.55162,0.70583,0.64160,0.67464,0.67303,0.77445,0.83869,0.71195,1.00000,0.66211,0.64057,0.64568,0.62238,0.64244,0.68543,0.64400,0.65664,0.54198,0.57079,0.53839,0.64425,0.57183,0.62889,0.57740,0.56999,0.65282,0.63899,0.64233,0.59281,0.70204,0.58753
13_vince_carboni,0.56758,0.59305,0.57465,0.49881,0.70818,0.65243,0.65237,0.68532,0.63972,0.64707,0.63342,0.66211,1.00000,0.77068,0.80576,0.78449,0.67974,0.70365,0.68970,0.68245,0.54146,0.66296,0.70617,0.53661,0.60553,0.66419,0.52311,0.54903,0.66697,0.60132,0.73536,0.61854,0.57789,0.57340
14_aleks_petrov,0.58338,0.63658,0.59475,0.50378,0.72718,0.73298,0.64993,0.62783,0.69314,0.65636,0.67153,0.64057,0.77068,1.00000,0.83110,0.75765,0.70325,0.71289,0.72221,0.69427,0.55533,0.61052,0.62278,0.56930,0.63088,0.60163,0.56624,0.58882,0.64731,0.66212,0.77244,0.62722,0.63743,0.62603
15_denise_fung,0.61993,0.64564,0.64442,0.54288,0.75024,0.76389,0.64976,0.65144,0.74339,0.67730,0.64740,0.64568,0.80576,0.83110,1.00000,0.77483,0.65961,0.72129,0.70545,0.69585,0.56290,0.64652,0.64081,0.60325,0.66153,0.61940,0.59002,0.64119,0.64325,0.66585,0.75424,0.66176,0.66970,0.66751
16_bruno_sarr,0.55214,0.58867,0.57705,0.51557,0.61871,0.64345,0.62763,0.57268,0.62058,0.64848,0.56508,0.62238,0.78449,0.75765,0.77483,1.00000,0.63184,0.64224,0.62329,0.58717,0.47033,0.61907,0.60377,0.52822,0.53919,0.54246,0.57961,0.52433,0.59194,0.57409,0.71055,0.56810,0.53813,0.54667
17_elaine_kovacs,0.64189,0.56344,0.61589,0.48250,0.67211,0.66185,0.64233,0.65224,0.63982,0.64362,0.64888,0.64244,0.67974,0.70325,0.65961,0.63184,1.00000,0.79486,0.81854,0.74955,0.50211,0.48050,0.51834,0.51204,0.63373,0.58094,0.54695,0.53946,0.62122,0.62252,0.62921,0.61845,0.58279,0.58335
18_manny_reyes,0.71401,0.63583,0.68163,0.54599,0.74019,0.69423,0.66502,0.66316,0.70051,0.68986,0.64869,0.68543,0.70365,0.71289,0.72129,0.64224,0.79486,1.00000,0.80662,0.75951,0.52633,0.53016,0.58141,0.57942,0.67236,0.65131,0.59480,0.61268,0.64847,0.65442,0.73446,0.64855,0.64068,0.63667
19_tova_lindqvist,0.68983,0.58953,0.65294,0.50191,0.70980,0.69187,0.64518,0.66473,0.66514,0.62969,0.68196,0.64400,0.68970,0.72221,0.70545,0.62329,0.81854,0.80662,1.00000,0.81629,0.56989,0.55393,0.57855,0.53186,0.66500,0.60054,0.51268,0.55778,0.61534,0.62962,0.62629,0.63445,0.63020,0.60182
20_doreen_stapp,0.67322,0.60069,0.68914,0.53320,0.72052,0.67171,0.62927,0.72256,0.66059,0.61971,0.72157,0.65664,0.68245,0.69427,0.69585,0.58717,0.74955,0.75951,0.81629,1.00000,0.62456,0.58189,0.57884,0.55979,0.72292,0.60962,0.50331,0.57599,0.63507,0.63342,0.60530,0.68568,0.65670,0.61437
21_garret_voss,0.58139,0.55349,0.58175,0.57088,0.59363,0.59089,0.56244,0.61569,0.53902,0.50446,0.61951,0.54198,0.54146,0.55533,0.56290,0.47033,0.50211,0.52633,0.56989,0.62456,1.00000,0.59283,0.53612,0.52055,0.53106,0.54280,0.47288,0.51221,0.55949,0.58633,0.47984,0.56540,0.58008,0.55025
22_lorne_petrie,0.57205,0.55046,0.55842,0.51760,0.58169,0.52554,0.57381,0.62228,0.51240,0.54956,0.57344,0.57079,0.66296,0.61052,0.64652,0.61907,0.48050,0.53016,0.55393,0.58189,0.59283,1.00000,0.65556,0.50295,0.49987,0.53838,0.46917,0.48076,0.56384,0.51690,0.59040,0.49075,0.52314,0.47508
23_merv_kastelic,0.55029,0.52612,0.52735,0.46702,0.64308,0.53228,0.61786,0.62226,0.51984,0.49602,0.55285,0.53839,0.70617,0.62278,0.64081,0.60377,0.51834,0.58141,0.57855,0.57884,0.53612,0.65556,1.00000,0.47181,0.54504,0.61821,0.42037,0.46679,0.51908,0.50810,0.68920,0.50796,0.49156,0.49010
24_sandrine_pike,0.61350,0.70764,0.61642,0.62081,0.65840,0.63801,0.60088,0.59685,0.68717,0.64337,0.60800,0.64425,0.53661,0.56930,0.60325,0.52822,0.51204,0.57942,0.53186,0.55979,0.52055,0.50295,0.47181,1.00000,0.57326,0.62843,0.61790,0.68756,0.62376,0.66824,0.58454,0.58510,0.71470,0.71877
25_shopper_elderly_woman,0.60465,0.57807,0.64657,0.55217,0.67287,0.61670,0.58896,0.66215,0.62907,0.58809,0.63285,0.57183,0.60553,0.63088,0.66153,0.53919,0.63373,0.67236,0.66500,0.72292,0.53106,0.49987,0.54504,0.57326,1.00000,0.54971,0.46102,0.56933,0.54048,0.57151,0.60317,0.70938,0.58302,0.59374
26_shopper_work_jacket,0.55360,0.60482,0.54756,0.53299,0.76553,0.63606,0.71238,0.66833,0.64966,0.60066,0.59458,0.62889,0.66419,0.60163,0.61940,0.54246,0.58094,0.65131,0.60054,0.60962,0.54280,0.53838,0.61821,0.62843,0.54971,1.00000,0.59714,0.64189,0.70809,0.69080,0.72715,0.58876,0.68668,0.67426
27_shopper_mustard_jumper,0.50177,0.55981,0.51884,0.55281,0.64202,0.63682,0.66781,0.52625,0.60511,0.61915,0.48539,0.57740,0.52311,0.56624,0.59002,0.57961,0.54695,0.59480,0.51268,0.50331,0.47288,0.46917,0.42037,0.61790,0.46102,0.59714,1.00000,0.61419,0.67609,0.67343,0.61562,0.53234,0.64943,0.66168
28_shopper_teen_hoodie,0.59631,0.63921,0.62034,0.56685,0.66898,0.66573,0.59504,0.57311,0.65603,0.58701,0.53665,0.56999,0.54903,0.58882,0.64119,0.52433,0.53946,0.61268,0.55778,0.57599,0.51221,0.48076,0.46679,0.68756,0.56933,0.64189,0.61419,1.00000,0.67593,0.69114,0.60326,0.59969,0.70359,0.75877
29_shopper_hivis_worker,0.56037,0.61651,0.58692,0.51015,0.72897,0.67900,0.69999,0.67243,0.64931,0.66168,0.60090,0.65282,0.66697,0.64731,0.64325,0.59194,0.62122,0.64847,0.61534,0.63507,0.55949,0.56384,0.51908,0.62376,0.54048,0.70809,0.67609,0.67593,1.00000,0.69706,0.64648,0.61002,0.67702,0.65731
30_shopper_teal_blouse,0.59885,0.63545,0.60295,0.57824,0.75718,0.70961,0.67804,0.61393,0.67700,0.63403,0.64643,0.63899,0.60132,0.66212,0.66585,0.57409,0.62252,0.65442,0.62962,0.63342,0.58633,0.51690,0.50810,0.66824,0.57151,0.69080,0.67343,0.69114,0.69706,1.00000,0.62907,0.63568,0.74749,0.74549
31_shopper_white_tee,0.56547,0.61978,0.58266,0.53221,0.76711,0.67892,0.71428,0.66073,0.68011,0.68000,0.57234,0.64233,0.73536,0.77244,0.75424,0.71055,0.62921,0.73446,0.62629,0.60530,0.47984,0.59040,0.68920,0.58454,0.60317,0.72715,0.61562,0.60326,0.64648,0.62907,1.00000,0.58993,0.61387,0.61505
32_shopper_rose_cardigan,0.58298,0.59281,0.63999,0.53199,0.65978,0.67518,0.58280,0.65799,0.63518,0.60862,0.60949,0.59281,0.61854,0.62722,0.66176,0.56810,0.61845,0.64855,0.63445,0.68568,0.56540,0.49075,0.50796,0.58510,0.70938,0.58876,0.53234,0.59969,0.61002,0.63568,0.58993,1.00000,0.61507,0.62630
